Time,Frequency
20200104-192146,10
20200104-192246,14
20200104-192346,7
20200104-192446,10
20200104-192546,14
20200104-192646,12
20200104-192746,12
20200104-192846,11
20200104-192946,9
20200104-193046,13
20200104-193146,11
20200104-193247,24
20200104-193347,13
20200104-193447,14
20200104-193547,20
20200104-193647,17
20200104-193747,17
20200104-193847,19
20200104-193947,23
20200104-194047,16
20200104-194147,9
20200104-194247,14
20200104-194347,12
20200104-194447,13
20200104-194547,12
20200104-194647,12
20200104-194747,19
20200104-194847,11
20200104-194947,14
20200104-195047,15
20200104-195147,11
20200104-195247,14
20200104-195347,8
20200104-195448,16
20200104-195548,14
20200104-195648,12
20200104-195748,13
20200104-195848,17
20200104-195948,13
20200104-200048,24
20200104-200148,14
20200104-200248,7
20200104-200348,8
20200104-200448,11
20200104-200548,10
20200104-200648,13
20200104-200748,15
20200104-200848,13
20200104-200948,21
20200104-201048,24
20200104-201148,15
20200104-201248,22
20200104-201348,10
20200104-201448,22
20200104-201549,26
20200104-201649,9
20200104-201749,14
20200104-201849,22
20200104-201949,10
20200104-202049,14
20200104-202149,12
20200104-202249,8
20200104-202349,14
20200104-202449,15
20200104-202549,17
20200104-202649,16
20200104-202749,14
20200104-202849,13
20200104-202949,10
20200104-203049,22
20200104-203149,17
20200104-203249,18
20200104-203349,17
20200104-203449,22
20200104-203550,6
20200104-203650,13
20200104-203750,12
20200104-203850,7
20200104-203950,12
20200104-204050,17
20200104-204150,10
20200104-204250,9
20200104-204350,8
20200104-204450,21
20200104-204550,13
20200104-204650,9
20200104-204750,18
20200104-204850,10
20200104-204950,14
20200104-205050,12
20200104-205150,14
20200104-205250,14
20200104-205350,5
20200104-205450,11
20200104-205551,10
20200104-205651,21
20200104-205751,8
20200104-205851,10
20200104-205951,15
20200104-210051,22
20200104-210151,11
20200104-210251,16
20200104-210351,14
20200104-210451,14
20200104-210551,11
20200104-210651,9
20200104-210751,14
20200104-210851,8
20200104-210951,14
20200104-211051,19
20200104-211151,5
20200104-211251,8
20200104-211351,11
20200104-211451,12
20200104-211551,15
20200104-211652,17
20200104-211752,11
20200104-211852,7
20200104-211952,9
20200104-212052,6
20200104-212152,11
20200104-212252,8
20200104-212352,8
20200104-212452,13
20200104-212552,15
20200104-212652,10
20200104-212752,9
20200104-212852,8
20200104-212952,10
20200104-213052,13
20200104-213152,8
20200104-213252,8
20200104-213352,16
20200104-213452,17
20200104-213552,14
20200104-213653,14
20200104-213753,6
20200104-213853,14
20200104-213953,12
20200104-214053,9
20200104-214153,13
20200104-214253,18
20200104-214353,9
20200104-214453,9
20200104-214553,10
20200104-214653,12
20200104-214753,16
20200104-214853,8
20200104-214953,12
20200104-215053,13
20200104-215153,13
20200104-215253,13
20200104-215353,20
20200104-215453,16
20200104-215553,17
20200104-215654,12
20200104-215754,8
20200104-215854,9
20200104-215954,12
20200104-220054,26
20200104-220154,11
20200104-220254,9
20200104-220354,12
20200104-220454,12
20200104-220554,10
20200104-220654,10
20200104-220754,14
20200104-220854,8
20200104-220954,15
20200104-221054,14
20200104-221154,10
20200104-221254,14
20200104-221354,9
20200104-221454,11
20200104-221554,17
20200104-221655,15
20200104-221755,11
20200104-221855,9
20200104-221955,8
20200104-222055,16
20200104-222155,10
20200104-222255,14
20200104-222355,17
20200104-222455,10
20200104-222555,13
20200104-222655,27
20200104-222755,13
20200104-222855,17
20200104-222955,14
20200104-223055,13
20200104-223155,8
20200104-223255,17
20200104-223355,13
20200104-223455,18
20200104-223555,13
20200104-223656,9
20200104-223756,18
20200104-223856,14
20200104-223956,19
20200104-224056,16
20200104-224156,19
20200104-224256,13
20200104-224356,14
20200104-224456,10
20200104-224556,10
20200104-224656,13
20200104-224756,9
20200104-224856,17
20200104-224956,12
20200104-225056,5
20200104-225156,12
20200104-225256,12
20200104-225356,6
20200104-225456,16
20200104-225556,11
20200104-225657,6
20200104-225757,9
20200104-225857,13
20200104-225957,10
20200104-230057,27
20200104-230157,19
20200104-230257,9
20200104-230357,12
20200104-230457,16
20200104-230557,6
20200104-230657,12
20200104-230757,6
20200104-230857,13
20200104-230957,6
20200104-231057,10
20200104-231157,8
20200104-231257,14
20200104-231357,9
20200104-231457,13
20200104-231557,18
20200104-231657,10
20200104-231757,14
20200104-231857,10
20200104-231958,17
20200104-232058,12
20200104-232158,11
20200104-232258,19
20200104-232358,9
20200104-232458,13
20200104-232558,12
20200104-232658,12
20200104-232758,15
20200104-232858,15
20200104-232958,9
20200104-233058,19
20200104-233158,10
20200104-233258,10
20200104-233358,17
20200104-233458,9
20200104-233558,16
20200104-233658,12
20200104-233758,8
20200104-233858,6
20200104-233958,11
20200104-234059,12
20200104-234159,15
20200104-234259,7
20200104-234359,9
20200104-234459,7
20200104-234559,11
20200104-234659,7
20200104-234759,12
20200104-234859,5
20200104-234959,15
20200104-235059,14
20200104-235159,6
20200104-235259,11
20200104-235359,6
20200104-235459,11
20200104-235559,8
20200104-235659,21
20200104-235759,10
20200104-235859,7
20200105-000000,13
20200105-000100,27
20200105-000200,13
20200105-000300,11
20200105-000400,6
20200105-000500,6
20200105-000600,13
20200105-000700,15
20200105-000800,12
20200105-000900,9
20200105-001000,11
20200105-001100,10
20200105-001200,7
20200105-001300,12
20200105-001400,6
20200105-001500,12
20200105-001600,12
20200105-001700,13
20200105-001800,9
20200105-001900,8
20200105-002000,13
20200105-002101,5
20200105-002201,13
20200105-002301,8
20200105-002401,10
20200105-002501,9
20200105-002601,9
20200105-002701,11
20200105-002801,8
20200105-002901,6
20200105-003001,8
20200105-003101,9
20200105-003201,7
20200105-003301,11
20200105-003401,7
20200105-003501,9
20200105-003601,15
20200105-003701,8
20200105-003801,8
20200105-003901,10
20200105-004001,9
20200105-004101,9
20200105-004202,13
20200105-004302,9
20200105-004402,15
20200105-004502,11
20200105-004602,9
20200105-004702,12
20200105-004802,13
20200105-004902,3
20200105-005002,26
20200105-005102,10
20200105-005202,12
20200105-005302,12
20200105-005402,13
20200105-005502,10
20200105-005602,6
20200105-005702,7
20200105-005802,8
20200105-005902,10
20200105-010002,18
20200105-010102,21
20200105-010202,7
20200105-010302,14
20200105-010403,10
20200105-010503,9
20200105-010603,5
20200105-010703,6
20200105-010803,12
20200105-010903,21
20200105-011003,16
20200105-011103,15
20200105-011203,16
20200105-011303,20
20200105-011403,11
20200105-011503,13
20200105-011603,21
20200105-011703,7
20200105-011803,23
20200105-011903,17
20200105-012003,16
20200105-012103,17
20200105-012203,16
20200105-012303,14
20200105-012403,17
20200105-012504,13
20200105-012604,13
20200105-012704,9
20200105-012804,14
20200105-012904,12
20200105-013004,15
20200105-013104,15
20200105-013204,13
20200105-013304,8
20200105-013404,6
20200105-013504,9
20200105-013604,13
20200105-013704,12
20200105-013804,8
20200105-013904,13
20200105-014004,11
20200105-014104,15
20200105-014204,22
20200105-014304,12
20200105-014404,10
20200105-014504,12
20200105-014604,12
20200105-014705,15
20200105-014805,14
20200105-014905,9
20200105-015005,19
20200105-015105,15
20200105-015205,15
20200105-015305,19
20200105-015405,8
20200105-015505,11
20200105-015605,9
20200105-015705,15
20200105-015805,18
20200105-015905,16
20200105-020005,10
20200105-020105,22
20200105-020205,11
20200105-020305,18
20200105-020405,11
20200105-020505,13
20200105-020605,9
20200105-020705,13
20200105-020806,16
20200105-020906,12
20200105-021006,7
20200105-021106,11
20200105-021206,16
20200105-021306,5
20200105-021406,12
20200105-021506,7
20200105-021606,7
20200105-021706,16
20200105-021806,12
20200105-021906,18
20200105-022006,13
20200105-022106,7
20200105-022206,10
20200105-022306,11
20200105-022406,15
20200105-022506,12
20200105-022606,14
20200105-022706,10
20200105-022807,15
20200105-022907,8
20200105-023007,17
20200105-023107,10
20200105-023207,14
20200105-023307,19
20200105-023407,17
20200105-023507,20
20200105-023607,11
20200105-023707,8
20200105-023807,15
20200105-023907,14
20200105-024007,6
20200105-024107,16
20200105-024207,19
20200105-024307,14
20200105-024407,14
20200105-024507,10
20200105-024607,10
20200105-024707,15
20200105-024807,9
20200105-024907,13
20200105-025008,8
20200105-025108,11
20200105-025208,9
